urban_system_id,city,country_code,country_name,environment_score,environment_pm25_score,environment_pm25_year,environment_green_score,environment_green_year,mobility_score,public_transport_score,public_transport_year,economic_opportunity_score,employment_score,employment_year,unemployment_score,unemployment_year,perceived_safety_score,perceived_safety_year,community_score,community_year,life_satisfaction_score,life_satisfaction_year,housing_satisfaction_score,housing_satisfaction_year,profile_dimensions_available,profile_coverage_pct,explorer_eligible,environment_eligible,mobility_eligible,economic_eligible,extended_profile_eligible,radar_eligible,n_perception_dimensions
DE025,Freiburg im Breisgau,DE,Germany,43.25,42.69,2025,43.82,2021,63.0,63.0,2023,74.23,76.2,2021,72.26,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE026,Regensburg,DE,Germany,45.72,40.47,2025,50.96,2021,58.89,58.89,2023,84.75,89.11,2021,80.38,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE027,Frankfurt (Oder),DE,Germany,,51.7,2025,,,37.8,37.8,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE028,Weimar,DE,Germany,,,,,,90.58,90.58,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE029,Schwerin,DE,Germany,,92.17,2025,,,58.89,58.89,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE030,Erfurt,DE,Germany,65.75,63.37,2025,68.14,2021,74.27,74.27,2023,64.09,81.0,2021,47.17,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE031,Augsburg,DE,Germany,37.03,41.8,2025,32.26,2021,74.27,74.27,2023,75.19,83.03,2021,67.36,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE032,Bonn,DE,Germany,73.34,68.98,2025,77.69,2021,94.56,94.56,2023,42.04,44.65,2021,39.43,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE033,Karlsruhe,DE,Germany,54.85,19.65,2025,90.05,2021,51.33,51.33,2023,74.86,78.78,2021,70.94,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE034,Mönchengladbach,DE,Germany,65.48,57.61,2025,73.35,2021,87.0,87.0,2023,32.62,51.66,2021,13.58,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE035,Mainz,DE,Germany,46.5,45.64,2025,47.35,2021,90.58,90.58,2023,69.14,76.2,2021,62.08,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
